T (K)     qA (cm-3)     qP (cm-3)     qTe (cm-3)     qTA (cm-3)     QM_int (cm-3)     QM (cm-3)     eps_A (cm-1)     eps_i (cm-1)     eps_t (cm-1)     Kei (cm-3)     Ked (cm-3)     Ke (cm-6)     Log(Ke)
   5.000000E+02   2.000000E+00   1.000000E+00   5.399401E+19      2.101141E+24   3.128175E+00   1.880085E+25   5.218636E-98      0.000000E+00   5.212761E+02   3.849184-142   1.137708E-45      4.379249-187  -4.291065E+02
   1.000000E+03   2.000000E+00   1.000000E+00   1.527181E+20      5.942925E+24   6.152453E+00   1.045875E+26   1.310390E-46      0.000000E+00   1.042552E+03   3.715452E-73   6.057929E-23      2.250795E-95  -2.179343E+02
   1.500000E+03   2.000000E+00   1.000000E+00   2.805611E+20      1.091785E+25   9.387623E+00   2.931730E+26   1.781075E-29      0.000000E+00   1.563828E+03   4.769958E-50   2.431023E-15      1.159588E-64  -1.472174E+02
   2.000000E+03   2.000000E+00   1.000000E+00   4.319521E+20      1.680913E+25   1.302889E+01   6.264461E+26   6.566646E-21      0.000000E+00   2.085104E+03   1.941358E-38   1.556908E-11      3.022516E-49  -1.117206E+02
   2.500000E+03   2.000000E+00   1.000000E+00   6.036714E+20      2.349147E+25   1.721028E+01   1.156456E+27   9.068113E-16      0.000000E+00   2.606380E+03   1.935443E-31   2.975761E-09      5.759418E-40  -9.035257E+01
   3.000000E+03   2.000000E+00   1.000000E+00   7.935466E+20      3.088034E+25   2.201969E+01   1.945022E+27   2.426952E-12      0.000000E+00   3.127656E+03   9.428129E-27   9.770430E-08      9.211687E-34  -7.606742E+01
   3.500000E+03   2.000000E+00   1.000000E+00   9.999831E+20      3.891368E+25   2.752812E+01   3.064150E+27   6.849707E-10      0.000000E+00   3.648932E+03   2.179348E-23   1.169659E-06      2.549093E-29  -6.583923E+01
   4.000000E+03   2.000000E+00   1.000000E+00   1.221745E+21      4.754340E+25   3.380519E+01   4.597320E+27   4.773324E-08      0.000000E+00   4.170209E+03   7.463201E-21   7.444892E-06      5.556272E-26  -5.815228E+01
   4.500000E+03   2.000000E+00   1.000000E+00   1.457838E+21      5.673081E+25   4.092704E+01   6.641414E+27   1.320349E-06      0.000000E+00   4.691485E+03   7.134295E-19   3.107871E-05      2.217247E-23  -5.216319E+01
   5.000000E+03   2.000000E+00   1.000000E+00   1.707441E+21      6.644392E+25   4.897850E+01   9.308760E+27   1.927182E-05      0.000000E+00   5.212761E+03   2.785769E-17   9.652208E-05      2.688882E-21  -4.736516E+01
   5.500000E+03   2.000000E+00   1.000000E+00   1.969857E+21      7.665567E+25   5.805140E+01   1.272882E+28   1.776807E-04      0.000000E+00   5.734037E+03   5.663572E-16   2.416823E-04      1.368785E-19  -4.343519E+01
   6.000000E+03   2.000000E+00   1.000000E+00   2.244489E+21      8.734281E+25   6.823904E+01   1.704870E+28   1.164644E-03      0.000000E+00   6.255313E+03   7.049422E-15   5.148190E-04      3.629176E-18  -4.015753E+01
   6.500000E+03   2.000000E+00   1.000000E+00   2.530816E+21      9.848505E+25   7.963021E+01   2.243258E+28   5.880352E-03      0.000000E+00   6.776589E+03   6.010715E-14   9.684843E-04      5.821283E-17  -3.738243E+01
   7.000000E+03   2.000000E+00   1.000000E+00   2.828379E+21      1.100645E+26   9.230244E+01   2.905974E+28   2.418296E-02      0.000000E+00   7.297865E+03   3.804644E-13   1.652875E-03      6.288600E-16  -3.500262E+01
   7.500000E+03   2.000002E+00   1.000000E+00   3.136769E+21      1.220653E+26   1.063178E+02   3.712183E+28   8.429719E-02      0.000000E+00   7.819141E+03   1.896508E-12   2.610542E-03      4.950914E-15  -3.293920E+01
   8.000000E+03   2.000005E+00   1.000000E+00   3.455617E+21      1.344730E+26   1.217197E+02   4.681954E+28   2.564437E-01      0.000000E+00   8.340417E+03   7.782271E-12   3.873390E-03      3.014377E-14  -3.113280E+01
   8.500000E+03   2.000012E+00   1.000000E+00   3.784591E+21      1.472749E+26   1.385313E+02   5.835897E+28   6.959792E-01      0.000000E+00   8.861693E+03   2.719681E-11   5.461926E-03      1.485470E-13  -2.953788E+01
   9.000000E+03   2.000030E+00   1.000000E+00   4.123389E+21      1.604590E+26   1.567567E+02   7.194843E+28   1.714026E+00      0.000000E+00   9.382969E+03   8.311479E-11   7.386127E-03      6.138964E-13  -2.811895E+01
   9.500000E+03   2.000065E+00   1.000000E+00   4.471734E+21      1.740146E+26   1.763819E+02   8.779520E+28   3.882597E+00      0.000000E+00   9.904245E+03   2.268144E-10   9.647294E-03      2.188146E-12  -2.684797E+01
